,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,SnowFall,PrecipTotal,AvgSpeed
0,2007-05-01,83.5,51.0,67.5,51.0,56.5,0.0,0.0,9.399999999999999
2,2007-05-02,59.5,42.5,51.5,42.0,47.0,0.0,0.0,13.4
4,2007-05-03,66.5,47.0,57.0,40.0,49.0,0.0,0.0,12.55
6,2007-05-04,72.0,50.0,61.0,41.5,50.0,0.0,0.0005,10.600000000000001
8,2007-05-05,66.0,53.5,60.0,38.5,49.5,0.0,0.001,11.75
10,2007-05-06,68.0,50.5,59.5,30.0,46.0,0.0,0.0,14.75
12,2007-05-07,83.5,48.5,66.0,40.0,53.5,0.0,0.0005,10.2
14,2007-05-08,81.0,57.0,69.0,57.5,62.5,0.0,0.0005,5.6
16,2007-05-09,76.5,62.0,69.5,59.5,63.0,0.0,0.075,6.050000000000001
18,2007-05-10,83.5,57.5,70.5,52.0,60.5,0.0,0.0,4.0
20,2007-05-11,71.5,50.0,61.0,43.0,51.0,0.0,0.0,12.850000000000001
22,2007-05-12,64.5,46.5,55.5,36.5,46.0,0.0,0.0,12.95
24,2007-05-13,69.0,43.5,56.5,32.5,46.0,0.0,0.0,7.85
26,2007-05-14,90.0,55.0,72.5,46.0,58.5,0.0,0.0,15.95
28,2007-05-15,81.0,56.5,69.0,56.0,61.0,0.0,0.49,11.55
30,2007-05-16,65.0,44.5,55.0,42.5,47.5,0.0,0.10500000000000001,12.0
32,2007-05-17,61.5,43.5,53.0,32.0,43.0,0.0,0.0,11.75
34,2007-05-18,70.5,42.5,57.0,30.5,46.5,0.0,0.0,6.5
36,2007-05-19,80.0,56.0,68.0,38.0,53.0,0.0,0.0,11.4
38,2007-05-20,69.0,43.5,56.5,40.5,44.5,0.0,0.09,10.2
40,2007-05-21,79.5,45.0,62.5,50.0,56.5,0.0,0.0,8.0
42,2007-05-22,87.0,57.5,72.5,45.0,58.0,0.0,0.0,10.399999999999999
44,2007-05-23,89.0,63.0,76.5,48.5,61.0,0.0,0.0,11.5
46,2007-05-24,88.0,64.5,76.5,53.5,63.0,0.0,0.0105,16.25
48,2007-05-25,68.0,56.5,62.5,45.0,53.0,0.0,0.0455,8.5
50,2007-05-26,67.5,49.5,58.5,55.0,56.5,0.0,0.645,7.5
52,2007-05-27,75.0,58.0,66.5,48.0,56.5,0.0,0.06,9.35
54,2007-05-28,77.5,52.0,65.0,48.0,56.5,0.0,0.0005,5.25
56,2007-05-29,88.0,62.5,75.5,58.5,65.5,0.0,0.0,6.95
58,2007-05-30,88.0,68.0,78.5,57.5,65.5,0.0,0.0,10.35
60,2007-05-31,79.0,66.5,73.0,61.0,65.5,0.0,0.27,9.55
62,2007-06-01,85.5,64.5,75.5,63.0,66.5,0.0,0.2,6.1
64,2007-06-02,81.0,66.5,74.0,62.5,67.0,0.0,0.0205,7.8
66,2007-06-03,77.5,63.0,70.5,60.0,63.5,0.0,0.165,6.95
68,2007-06-04,71.5,57.0,64.5,57.5,60.0,0.0,0.35,9.899999999999999
70,2007-06-05,63.5,49.0,56.5,47.5,51.5,0.0,0.345,7.85
72,2007-06-06,72.0,46.0,59.5,47.5,55.0,0.0,0.0055,11.0
74,2007-06-07,91.5,71.0,81.5,61.5,68.5,0.0,0.0,21.9
76,2007-06-08,81.0,60.0,70.5,53.5,61.5,0.0,0.0,13.100000000000001
78,2007-06-09,79.0,54.5,67.0,48.0,57.5,0.0,0.0,4.85
80,2007-06-10,81.0,58.0,69.5,50.5,59.5,0.0,0.0,5.699999999999999
82,2007-06-11,85.5,61.5,73.5,51.5,61.0,0.0,0.0,7.65
84,2007-06-12,82.5,64.0,73.5,50.5,60.5,0.0,0.0,9.4
